node,degree_centrality
Q9BS31,4.50E-05
B6TDB2,0.000329729
Q9WZ57,1.50E-05
Q9Y6M0,2.25E-05
EBI-13712153,6.00E-05
Q9VZX7,8.24E-05
P0A988-1,7.49E-06
Q8N5Z7,7.49E-06
Q9Y0I1,8.24E-05
Q55630,6.74E-05
Q9M2Z4,0.000719408
Q20057,8.24E-05
At5G44220,7.49E-06
A0A1D6HXF4,1.50E-05
P76072,0.000127395
Q3SXB8,7.49E-06
A0A1D6PVX4,6.74E-05
Q9XZ15,6.00E-05
Q6ZZ87,2.25E-05
Q6Q759,2.25E-05
P22893,0.000277272
P29751,3.75E-05
Q12276,0.000119901
P62615,7.49E-06
SPBC216.02,2.25E-05
EBI-1789015,7.49E-06
P54826,7.49E-06
Q8AVT2,7.49E-06
Q9P1W8,2.25E-05
Q06673,9.74E-05
A0A1D6LG73,7.49E-06
P69961,3.75E-05
Q9HAP6,0.000142383
Q91WN1,3.75E-05
Q9Y4F5,0.000142383
P13762,7.49E-06
B4FDT6,3.00E-05
Q80VW5-12,7.49E-06
B6SVD2,4.50E-05
O23141,7.49E-06
P17095-2,7.49E-06
Q9VFN7,2.25E-05
Q9HD20,0.000157371
P38740,1.50E-05
H0RNF6,7.49E-06
Q96F63,0.000164864
EBI-15544686,7.49E-06
H2KZN0,7.49E-06
Q9VCB2,7.49E-06
Q8U019,1.50E-05
P41968,2.25E-05
B6T7G7,8.99E-05
P62784,1.50E-05
Q72DA7,7.49E-06
EBI-103524,0.000112408
Q9XYQ2,6.00E-05
P43551,6.74E-05
FBgn0004863,2.25E-05
A0A1D6INN2,1.50E-05
C4J4U3,2.25E-05
D3ZW55,1.50E-05
P09874,0.00173857
Q9H7H0-2,0.000164864
B4FEM0,1.50E-05
P79728,2.25E-05
Q8N9F0,2.25E-05
B6SRG1,5.25E-05
Q12191,5.25E-05
EBI-25858480,1.50E-05
B4F8R1,7.49E-06
O01953,7.49E-06
O75973,0.000172358
Q09XV5,3.75E-05
P04412-2,2.25E-05
Q8I3S7,2.25E-05
EBI-13799483,7.49E-06
Q8NDI1-2,7.49E-06
Q9LN67,2.25E-05
Q969S8-2,8.24E-05
C0P7U1,6.74E-05
B4FU88,7.49E-06
H0RND5,7.49E-05
Q9VQ11,5.25E-05
C4J9B3,5.25E-05
H3BN34,7.49E-06
Q17763,2.25E-05
ENSG00000074047,5.25E-05
EBI-1611095,6.74E-05
Q6DKE3,7.49E-06
Q55480,7.49E-06
E9PBC6,3.75E-05
O14531,0.000187346
EBI-6831738,7.49E-06
Q9U296,1.50E-05
A0A1D6JLG0,3.00E-05
EBI-13659949,3.00E-05
Q9FKY5,7.49E-06
P15723,3.75E-05
Q9VBL5,1.50E-05
Q9U5W9,6.74E-05
P12554,0
Q00460,7.49E-06
P0DJ57,7.49E-06
Q9W3T3,4.50E-05
Q5SIT5,6.00E-05
EBI-25469684,7.49E-06
P17994,4.50E-05
Q9BXH2,7.49E-06
P53162,7.49E-06
P39108,0.00044963
A0A1D6N558,6.00E-05
Q17539,0.000157371
Q9VGD1,3.00E-05
Q19824,7.49E-06
Q9LZD7,7.49E-05
P50101,0.000382186
Q9UN75,1.50E-05
Q6GNJ5,7.49E-06
EBI-1332279,7.49E-06
A0A1D6NTH3,7.49E-06
P15375,7.49E-06
Q9W440,3.00E-05
B5Z6G7,0
Q9NPF5,0.000659458
C6KEF6,7.49E-06
Q9STL4,7.49E-06
EBI-25757352,8.99E-05
P36137,7.49E-06
A0A1D6PZA5,7.49E-06
Q8D0H2,3.00E-05
C0P8V9,7.49E-06
Q7P947,7.49E-06
Q9VK81,7.49E-06
Q05481,3.75E-05
EBI-13701859,1.50E-05
P75691,7.49E-05
Q9GZL7,0.000164864
Q8CKV8,2.25E-05
P92941,3.75E-05
Z4YIA7,7.49E-06
Q93Z61,7.49E-06
A0A1D6G984,3.00E-05
Q9VGL8,1.50E-05
P19256-2,3.75E-05
EBI-13673758,3.75E-05
Q8IWY8-4,6.00E-05
EBI-2802717,7.49E-06
EBI-6122287,7.49E-06
A0A1D6HEM9,6.74E-05
Q2QMN6,7.49E-06
P36667,7.49E-06
Q6NLC1,0.000112408
Q6ZUT1,0.000427149
B4FGT5,3.00E-05
Q9NS23-2,0.000172358
ENSMUSG00000025902,5.25E-05
Q99J95,0.000831816
Q12520,1.50E-05
O95822-2,6.74E-05
A0A090N7Y0,7.49E-06
Q14CH7,7.49E-06
H3BU45,7.49E-06
Q01295-2,1.50E-05
Q9VPH4,0.000104914
P36149,0.000232309
H2KZQ0,3.75E-05
A0A024R045,7.49E-06
B2R5M9,7.49E-06
Q9SCW5,7.49E-05
Q9UBS3,0.000299753
A0A1D6GLE1,0.000142383
C9QP00,3.00E-05
Q7Z460-1,7.49E-06
A0A1D6KWU8,3.75E-05
P53007,0.000809334
Q7P9T5,7.49E-06
P05020,4.50E-05
Q8IYM1-2,8.24E-05
Q9CZH3,1.50E-05
Q8IY31-3,0.000299753
Q9FV70,4.50E-05
Q24574,5.25E-05
Q9VQP5,6.00E-05
Q8IKL0,3.00E-05
Q6XD76,0.000382186
P0CK92,7.49E-06
B6SZS2,0.000172358
A0A1D6HCR7,7.49E-06
H2A2B1,7.49E-06
O15547,3.00E-05
P06464,0.000359704
P74170,7.49E-06
Q86YW0,2.25E-05
Q96A44,5.25E-05
P55006,1.50E-05
H0YCX2,7.49E-06
A8QM11,4.50E-05
Q9VER8,3.75E-05
G5EBG1,1.50E-05
G3C9R9,7.49E-06
B6SPH7,2.25E-05
Q14264,7.49E-06
Q4CPD8,7.49E-06
Q9W426,7.49E-06
Q712V1,7.49E-06
ENSMUSG00000027204,1.50E-05
P91249,5.25E-05
Q9BUF7-2,0.000172358
Q05546,1.50E-05
P78368,0.000494593
Q6ZN54-2,0.000269778
Q0DHV7,7.49E-06
Q54450,1.50E-05
Q7K2D2,3.75E-05
O14498,0.000299753
B4F9P0,7.49E-06
EBI-6763422,7.49E-06
Q52QT8,7.49E-06
A7M6D5,7.49E-06
Q96MY7,0.000562038
Q9H497,2.25E-05
B7ZY74,2.25E-05
Q91YZ2,1.50E-05
K7W7Y8,7.49E-06
Q96KV7-7,2.25E-05
O43402,0.000322235
Q9NYA1,5.25E-05
Q38184,0
A5D8W4,2.25E-05
Q9NTJ5,0.000509581
P48486,1.50E-05
P25118,0.000209827
P31356,0
P04689,8.99E-05
Q80UE6,4.50E-05
Q5T203,1.50E-05
Q84P93,7.49E-06
B2R791,7.49E-06
EBI-6786439,7.49E-06
Q8IJA6,4.50E-05
P97950,6.74E-05
P54283,7.49E-06
Q24320,3.00E-05
Q9UDY4,0.000479606
A0A1D6ML65,7.49E-06
EBI-25470699,7.49E-06
Q9PM72,6.00E-05
Q22573,7.49E-06
B4FVJ0,3.00E-05
P62656,3.75E-05
Q4ABJ3,7.49E-06
Q9GZT3,0.000532062
B4DSH1,7.49E-06
Q02961,4.50E-05
P17971,1.50E-05
Q8NCF0,7.49E-06
EBI-6816962,7.49E-06
O35235-1,3.00E-05
EBI-15531309,7.49E-06
Q99P58,6.00E-05
A0A1D6EU99,1.50E-05
P46312,7.49E-06
Q7ZYR1,7.49E-06
F4JF17,7.49E-06
H2KZ82,2.25E-05
P11680,7.49E-06
P04218,1.50E-05
P25620,1.50E-05
B4DZC0,7.49E-06
P32443,1.50E-05
Q63198,3.00E-05
P19022-2,7.49E-06
V9HW29,3.75E-05
A0A8C0NLP0,7.49E-06
Q9SD04,2.25E-05
Q9FY49,7.49E-06
P17164,7.49E-06
Q9LX49,3.00E-05
Q06412,8.99E-05
P12995,3.75E-05
Q9S7A6,2.25E-05
EBI-6809889,7.49E-06
Q90923,7.49E-06
EBI-27123820,7.49E-06
A0A1D6ENN8,5.25E-05
O08586,0.000187346
P18089,3.75E-05
Q6L4W0,7.49E-06
F6SG74,7.49E-06
K7V9P7,7.49E-06
Q96Q89-3,6.00E-05
Q4R4G2,6.00E-05
Q9M0I7,7.49E-06
Q9LZ65,3.75E-05
Q77YB1,3.75E-05
P80188,0.000517075
A0A1D6MMZ3,1.50E-05
Q06032,8.24E-05
Q2M1E6,7.49E-06
Q16890,0.000127395
F4K735,7.49E-06
Q9CX30,1.50E-05
EBI-6822410,7.49E-06
Q8N7T0,6.74E-05
ENSG00000146674,3.00E-05
Q67IX6,7.49E-06
EBI-6773154,7.49E-06
P01597,7.49E-06
P73020,3.75E-05
Q22159,7.49E-06
Q7K4W1,2.25E-05
Q6UWZ7,0.000134889
P73058,2.25E-05
Q9U983,7.49E-06
Q9VSF0,5.25E-05
P00334,0.00019484
Q9C5Y0,7.49E-06
Q6PIS1-2,7.49E-06
Q13516,8.99E-05
EBI-13662563,5.25E-05
P08588,0.000112408
Q9CXE0,7.49E-06
A6H8H5,7.49E-06
Q02774,0.00025479
Q9FGJ8,3.00E-05
O95863,0.000696927
P0C6Y4,7.49E-06
EBI-13683809,8.24E-05
C4R2U9,3.00E-05
P20605,3.75E-05
Q8WUJ0,0.000404667
B4DU58,3.00E-05
P18541,7.49E-06
Q39219,7.49E-06
Q12348,0.000119901
EBI-6821179,7.49E-06
P76387,3.75E-05
A0A0U1RPC4,7.49E-06
P55263,5.25E-05
A0A1D6L2X4,7.49E-06
Q8IPH8,1.50E-05
Q20317,7.49E-06
Q04706,7.49E-06
A0A5G2QCK2,7.49E-06
I0CES9,7.49E-06
A0A1D6Q4Y6,1.50E-05
A0A0H2UHL3,2.25E-05
Q9VDU0,7.49E-06
P54253,0.004706129
EBI-15643681,7.49E-06
Q6PIM4,1.50E-05
P34520,7.49E-06
B7FA85,7.49E-06
Q60FE5,3.00E-05
H2A1W1,6.00E-05
Q96EU7,7.49E-05
Q9HCH0-2,6.00E-05
Q99M88,7.49E-06
Q9VMP5,7.49E-06
Q13480,0.001011668
P41410,7.49E-06
Q14BB9,7.49E-06
K7TKX8,2.25E-05
Q9VMK9,2.25E-05
Q53HC0,0.000329729
O83941,4.50E-05
Q06156,0.000119901
Q5SXH7-1,8.99E-05
O94880-1,7.49E-06
Q10343,1.50E-05
O95400,0.000726902
Q0P7X2,9.74E-05
SPCC330.05c,7.49E-06
Q8N684-2,8.99E-05
A0A1D6ICQ0,3.00E-05
Q7KAH0,1.50E-05
K7VAS4,7.49E-06
P73825,7.49E-06
Q72WL4,1.50E-05
O94538,1.50E-05
A0A1D6GVG1,7.49E-06
P46867,2.25E-05
P58400-1,7.49E-06
F6XZQ7,7.49E-06
Q9ZUU8,0.000232309
Q91X83,1.50E-05
EBI-9946566,7.49E-06
A0A1D6GMR9,3.00E-05
Q9VC90,3.75E-05
Q9VJE6,7.49E-06
Q03020,0.000149877
Q0PAA8,3.00E-05
Q9VSH7,3.00E-05
Q19770,7.49E-06
P32701,4.50E-05
O65398,1.50E-05
A0A380SBC9,5.25E-05
Q05899,3.75E-05
P26343,0.000172358
O32071,0.000127395
ENSG00000170345,0.000104914
B4FRU9,0.000179852
A0A1D6P2X5,3.00E-05
P55090,1.50E-05
EBI-9924742,1.50E-05
P03513,2.25E-05
P73286,7.49E-06
Q9Y3A2,0.00019484
Q9BWE0,0.000217321
O42893,1.50E-05
Q00420,7.49E-06
EBI-13650567,7.49E-05
Q0PA15,7.49E-06
Q16343,7.49E-06
Q59HD5,7.49E-06
P06721,4.50E-05
P74035,7.49E-06
A0A1D6ERW2,7.49E-06
Q8NDX1-1,7.49E-06
Q9M223,0.000209827
Q6ISS4,4.50E-05
Q9S7N6,0.000112408
Q7K511,1.50E-05
O43927,7.49E-05
Q5NG39,7.49E-06
Q5NGF6,2.25E-05
O43427-2,7.49E-05
F1LQU1,7.49E-06
H7BZW9,7.49E-06
O94489,7.49E-06
O44454,7.49E-06
A0A1D6GNT0,1.50E-05
B5DF91,4.50E-05
EBI-9954117,7.49E-06
C0HGV5,0.000247297
Q14919,0.000284766
O34623,3.75E-05
P00763,3.00E-05
Q8S397,3.00E-05
Q96QU8-2,7.49E-06
P21829,2.25E-05
EBI-6794730,7.49E-06
A0A1D6F810,0.000134889
Q93705,0.000104914
O13532,1.50E-05
A0A1D6EMY1,2.25E-05
EBI-10055672,7.49E-06
P62112,7.49E-06
P36058,1.50E-05
B4DRL5,7.49E-06
Q7XJ13,7.49E-06
Q7L4N0,7.49E-06
O25546,0.000329729
EBI-13770743,1.50E-05
Q3UHH1,3.75E-05
Q86BM8,2.25E-05
Q9LDC0,0.00019484
Q8RGE1,7.49E-06
D3ZPY0,7.49E-06
Q9VHF5,2.25E-05
Q1CXR8,0.000224815
Q84M24,7.49E-06
Q13794-2,7.49E-06
EBI-13660067,0.000172358
Q29RK1,7.49E-06
Q8CZJ2,7.49E-06
Q9N4V4,7.49E-06
A0A178WEE3,0.000209827
Q9BPP1,1.50E-05
Q9D9V3,7.49E-06
O83685,7.49E-05
A1Z6M6,8.24E-05
Q9M0Z6,3.75E-05
EBI-6818198,7.49E-06
Q9V8K2,3.75E-05
P53893,7.49E-05
Q8XE74,7.49E-06
Q72EF2,7.49E-06
A0A1D6MBZ9,2.25E-05
P34943,2.25E-05
A0A1D6KW93,3.00E-05
Q9VZC7,8.99E-05
Q08968,0.000119901
A0A087WWI0,3.00E-05
Q8VEF1,7.49E-06
Q7TT42,7.49E-06
EBI-115988,1.50E-05
F5GWF6,1.50E-05
Q0P880,5.25E-05
Q8GNY5,7.49E-06
P0AB52,7.49E-06
Q9Y6H6,7.49E-05
Q6QNY1,0.000427149
Q9NEN0,7.49E-06
EBI-6832161,7.49E-06
K7TXB6,3.75E-05
Q9ZKK8,0.000112408
A0A1D6IRN4,7.49E-06
Q29EQ3,7.49E-06
D3Z8E6,3.00E-05
EBI-15749506,7.49E-06
Q9Y2H2,2.25E-05
A0A1D6N6K4,3.75E-05
Q9H6A9,5.25E-05
Q6TLM0,7.49E-06
A0A1D6DYQ3,7.49E-06
Q8MXT6,1.50E-05
A0A1D6I9L9,3.75E-05
Q8RWS9,0.000209827
Q8L5W7,1.50E-05
Q80XI4,7.49E-06
Q8VZ44,7.49E-06
Q99946-2,7.49E-06
Q8SRF0,7.49E-06
P07151,3.75E-05
P75261,2.25E-05
P29691,4.50E-05
Q3UND0,5.25E-05
Q9VC87,3.00E-05
Q86VX2,6.74E-05
A0A1D6JA16,3.75E-05
A0A3L6F262,7.49E-06
Q32LG3,7.49E-06
Q9VNE1,0.000779359
EBI-6799037,7.49E-06
P33121,8.24E-05
EBI-6814584,7.49E-06
EBI-13749603,3.00E-05
F6N9E7,0
A0A1D6PET8,2.25E-05
P47136,0.000202334
O15466,1.50E-05
EBI-829978,7.49E-06
Q9BTM1-2,7.49E-06
B6T8F6,4.50E-05
EBI-13769475,3.75E-05
A0A1D6MDJ3,7.49E-05
Q4AB24,2.25E-05
Q2FW29,1.50E-05
A1ZB09,1.50E-05
ENSMUSG00000017861,2.25E-05
Q9VQ93,5.25E-05
Q15696,0.000404667
O76511,1.50E-05
P36897,0.000344716
EBI-6828649,7.49E-06
EBI-27059122,7.49E-06
P0ABK5,0.000112408
Q2I360,8.24E-05
O35763,3.75E-05
A0A1D6NAV6,7.49E-06
F8VQ05,1.50E-05
C0PBZ4,6.00E-05
H0YMV8,1.50E-05
EBI-6808853,7.49E-06
B7ZMR6,1.50E-05
Q6ZWR6-5,1.50E-05
P25301,0.000157371
Q8TCU4,0.000299753
Q94BT0,6.00E-05
P39367,5.25E-05
Q53EM5,7.49E-06
Q9VD58,2.25E-05
A0A1D6E472,7.49E-06
ENSMUSG00000026459,1.50E-05
O76082,9.74E-05
Q4V7K4,7.49E-06
P21375,0.000134889
B6SHZ1,0.000142383
Q6P9I7,2.25E-05
Q9VSA3,6.74E-05
O35857,1.50E-05
P0AFD1,0.000232309
Q8IJJ2,2.25E-05
Q9VRJ0,3.00E-05
A1Z7G2,7.49E-06
P31422,3.00E-05
Q9VVG4,8.24E-05
Q5VV43,3.75E-05
Q9VAD5,7.49E-06
Q9UP79,7.49E-06
Q6ZNK6,0.000764371
P16857,1.50E-05
A0A1D6FNJ4,0.000112408
P56522,1.50E-05
P46467,0.000442136
Q18339,7.49E-06
A0A1D6FKV9,6.00E-05
A0A1B4XMC1,7.49E-06
EBI-6788384,7.49E-06
Q8CI15,2.25E-05
EBI-6795385,7.49E-06
Q9VRW9,1.50E-05
Q64604,3.75E-05
P08306,7.49E-06
EBI-1579370,7.49E-06
Q9Y6F1,3.00E-05
Q9P2D3,6.00E-05
A0A1D6N2M8,7.49E-06
P75579,3.75E-05
Q9VKK1,7.49E-05
Q18786,1.50E-05
Q55853,7.49E-06
Q55481,3.75E-05
P39529,7.49E-05
O22881,7.49E-05
Q6N4T2,7.49E-06
A8K7N0,7.49E-06
Q8IED5,1.50E-05
P44783,7.49E-06
Q8IUR5-4,0.00019484
EBI-6810236,7.49E-06
A0A0G2JXD5,7.49E-06
Q7RTT9,7.49E-06
Q6ZN17,0.000179852
Q9VWD4,7.49E-06
Q6PHK7,7.49E-06
Q61526,1.50E-05
G5ECN7,7.49E-06
G3XAI9,7.49E-06
J3KP15,3.75E-05
G9I222,7.49E-06
Q9FX36,0.000119901
A0A6L8PJN2,7.49E-06
Q8N9Z0,7.49E-06
P20160,0.000164864
Q9TZH9,7.49E-06
A8DZ29,1.50E-05
Q94K78,4.50E-05
O00327,0.000337223
Q8TCA8,7.49E-06
F1NPG5,3.75E-05
K7UAA5,3.75E-05
P13807,0.000636976
G5E9Y3,7.49E-06
EBI-21196689,7.49E-06
A0A1D6FBR9,7.49E-06
P76399,3.00E-05
O08726,7.49E-06
P38193,0.000149877
EBI-10918357,7.49E-06
Q9VIV9,1.50E-05
A3U2L6,0
P16471,4.50E-05
EBI-13706907,3.00E-05
Q09428,2.25E-05
Q9FQA1,1.50E-05
Q9NRW8,7.49E-06
P62662,3.75E-05
F1Q7Y5,1.50E-05
Q8IWW6-3,3.00E-05
H7C460,7.49E-06
O42924,7.49E-06
C4J9S5,9.74E-05
P69786,2.25E-05
B6SNE2,0.000134889
Q9P7C8,1.50E-05
EBI-2507728,2.25E-05
O60504,0.001064125
Q8TC41,3.00E-05
P0A1X2,7.49E-06
A5LHG3,7.49E-06
Q19918,3.00E-05
Q9ULV5-2,0.000232309
P32526,5.25E-05
P23368,0.000142383
EBI-6778189,7.49E-06
P12023-PRO_0000000118,2.25E-05
O35550,1.50E-05
B4E3S0,7.49E-06
A0A1D6HLY2,7.49E-06
D3ZBI1,7.49E-06
Q5H9J7,0.000187346
EBI-13684271,7.49E-06
Q8C052,3.00E-05
A0A1D6MVI8,7.49E-06
P56181-2,0.000202334
Q9VVN6,1.50E-05
P07341,7.49E-06
Q1D7G6,7.49E-06
EBI-6778138,7.49E-06
A0A1D6K0I7,3.00E-05
EBI-13676942,1.50E-05
Q95YE2,7.49E-06
Q99683,0.000532062
EBI-9933566,7.49E-06
Q24239,3.00E-05
A0A1D6LL88,7.49E-06
Q5T2L2,4.50E-05
A0A6L8Q0Q2,3.00E-05
A0A1D6QHP5,8.24E-05
EBI-9921252,7.49E-06
A0MZ66-4,5.25E-05
Q5T6F2,0.000464618
Q12195,1.50E-05
Q9ERF3,0.000209827
Q9HD23-2,7.49E-06
A1Z9T6,2.25E-05
Q5DU25,6.00E-05
G0S4F3,3.00E-05
Q6AXS3,8.99E-05
C0PFP8,7.49E-05
Q84Y01,7.49E-06
Q8N8Z6,7.49E-05
P53738,0.000112408
Q8IYD9,8.99E-05
P37653,3.00E-05
Q9VN30,1.50E-05
O95436-2,0.000239803
Q69XJ9,1.50E-05
Q6PIY7-2,7.49E-06
Q00457,7.49E-06
Q9UJC3-1,3.00E-05
B8A372,4.50E-05
Q8GXG6,7.49E-06
Q8R5J9,1.50E-05
P00929,7.49E-06
EBI-13676584,0.000157371
Q18409,3.00E-05
A0A0F6B9X6,2.25E-05
Q8BJ03,0.000277272
Q9ALW2,0
Q8I665,7.49E-06
P75520,1.50E-05
P13236,0.00019484
Q27333,1.50E-05
Q27888,7.49E-06
B2R4D8,7.49E-06
E9PV66,1.50E-05
EBI-6781574,7.49E-06
O34723,7.49E-06
P24321,7.49E-06
Q4V3X2,3.00E-05
P55917,7.49E-06
A0A1D6ELB9,3.00E-05
Q8NDV1,7.49E-06
Q56H90,7.49E-06
Q5NHI8,3.00E-05
Q17353-3,0.00025479
EBI-6806798,7.49E-06
Q2VPK5,0.000164864
C0LGP9,0.000127395
Q9R1J8,7.49E-06
Q14684-1,0.000374692
A0A024R8L5,1.50E-05
B4G233,7.49E-06
B4FMT9,1.50E-05
Q8IBQ9,1.50E-05
Q9FK52,5.25E-05
Q54K32,1.50E-05
EBI-15714502,0
EBI-6815359,7.49E-06
Q9PI34,6.00E-05
P12428,1.50E-05
EBI-832049,7.49E-06
Q9VJD4,0.000599507
O01498-1,1.50E-05
Q6NVC0,2.25E-05
Q8IQS7,1.50E-05
Q940D0,0.000164864
A0A1D6EU65,0.000112408
Q09900,7.49E-06
Q85FZ1,7.49E-06
P18012,7.49E-06
Q06411,0.001206508
B6TUG2,4.50E-05
Q8AVF3,7.49E-06
Q8WXD2,7.49E-05
O83228,7.49E-06
O18152,7.49E-06
