node,betweenness_centrality
Q9R1T2,5.453931607714612e-05
Q6A037,0.0
Q9JIQ3,2.237731097254127e-08
A6NGG8,0.0
Q6PIE5,2.1648486499127896e-06
Q3E7Y7,0.0
O54968,0.0
O14715,9.203552148663567e-06
Q6PGC7,0.0
P9WJB9,0.0
Q9BKQ7,0.0
P54114,7.756042953932357e-09
A0A0D9S3D7,0.0
Q9FK12,0.0
A0A1P8BE16,0.0
Q9FT73,0.0
Q9WU56,1.1265519675213767e-05
Q8TGJ7,1.221704566396153e-07
Q949S3,0.0
A6NGB7,0.0
Q9BQE9,2.7485914827332765e-06
14218032,0.0
Q9NVS2,4.0401392885008146e-07
Q9P0J1,4.5323109408380325e-06
F7F0B1,0.0
Q10077,4.709720173752877e-07
P17706,6.91530858804032e-06
Q8WUE5,1.1684570016420751e-07
O13754,0.0
Q9Y7T0,1.2480271596855659e-08
Q15388,7.756058520774549e-06
Q9VDD3,0.0
P48412,1.0191691873347184e-07
Q76I79,1.9826303469797004e-06
O74370,3.1340992956554426e-08
Q9P6P2,0.0
Q86T82,3.675876333551404e-07
P32892,5.849317409374299e-07
Q8IJD2,0.0
Q09387,0.0
Q8BNP7,4.344976504505827e-06
Q6IAA8,0.00028840305710291675
P17540,1.9041025398053904e-06
Q8GYH0,0.0
Q9HBV2,4.989732449000079e-06
P40478,5.983294478666796e-10
Q9UQ26,0.0
Q9Y5J3,6.039557646107693e-06
G5EG47,7.36173589843291e-07
O14531,3.8470644099506835e-06
Q9DA37,0.0
Q9US39,1.2169889013345145e-08
B4DNW6,0.0
Q6PFV1,0.0
P27815,5.390163977667896e-08
O17039,0.0
A1Z8I8,0.0
Q9D6F9,5.088302863773645e-06
Q84JG2,1.6366828416190562e-06
P36613,2.0122045893356677e-06
Q63273,0.0
P42558,0.0
A0A1L8GE10,0.0
A0A0B4LHX7,0.0
Q7K1C3,0.0
Q8IHX2,0.0
O43809,7.444208501582881e-05
Q8LCE4,0.0
O17898,0.0
P37840,6.512200073788986e-07
Q09146,0.0
P21784,0.0
P87152,0.0
Q8N1G0,3.501833747458351e-06
Q20502,7.412450095536257e-07
Q8WZ75,0.0
A0A178UT39,0.0
Q8LPF4,0.0
Q18678,6.005630525186214e-08
Q21633,1.5750525305474562e-06
Q9P382,0.0
Kifc2,0.0
A2RUH7,5.020238106334991e-08
tag-298,0.0
Q8N414,4.792904868202066e-10
Q9VGV9,0.0
Q5YDB6,0.0
P46561,2.3066009976818825e-06
Q9FMR3,0.0
O75333,0.0
O35295,4.909903573233386e-07
100302650,0.0
182638,1.9572927715322356e-09
Q9USQ5,6.472427148526687e-09
O88561,0.0
Q9U2M6,0.0
Q93717,0.0
Y18H1A.2,0.0
F1N339,0.0
Q9QYI3,1.24977219725296e-05
Q9Z0F3,0.0
653602,0.0
Q9BWK5,7.218883009581285e-08
Q9Z2E1,0.0
Q7Z4H4,0.0
100861402,0.0
Q07998,0.0
Q6GQS1,1.2888462587635037e-07
P20036,1.8002170369983683e-05
Q7Z5V6,9.909370886602217e-10
Q9U380,0.0
G5EBW5,7.261556182384594e-07
F56D2.3,0.0
Q5VTE6,3.788447870714857e-06
O44412,0.0
Q21516,0.0
Q9EPT8,0.0
Q8BH44,4.366221747166809e-08
Q920Q2,0.0
Q9C116,0.0
Q8IPC3,0.0
G5EG58,0.0
Q9NHB0,0.0
D4AE91,0.0
P76512,4.4663279503153655e-10
O00087,0.0
P42336,1.0948518783457742e-05
P34575,2.682186163235445e-06
P06785,4.061553475321742e-06
Q01721,0.0
P45522,1.1756116644370968e-08
Q9NSD9,4.6607349573107987e-07
P09240,0.0
Q7JVY2,0.0
Q8BFU0,0.0
Q9VWJ7,0.0
Q8IZQ8,0.0
Q0VF96,6.0727846544065e-08
Q14678,5.030181666276454e-07
3768904,0.0
Q9VYJ5,0.0
P49626,4.544730954901679e-07
A8DYT3,0.0
O80792,0.0
4927037,0.0
Q12026,5.3589148175548933e-08
Q9V9Q2,0.0
B9EKX1,5.670069031297149e-05
Q6PCF2,0.0
Q9Y5P1,0.0
Q23338,4.5509088736636895e-06
Q9I7L9,0.0
Q99680,0.0
851912,0.0
A0A0B4KF28,0.0
Q9UUB6,1.7683132353872385e-08
O13853,0.0
A1A535,0.0
P51407,6.555727852945805e-08
Q8IIR6,0.0
Q9C7T4,0.0
A8IF08,0.0
Q86WK9,0.0
P24181,2.3795126718705158e-07
Q9VWU8,0.0
P25302,3.034476454319571e-06
Q9S804,0.0
Q9R1C0,0.0
Q96N21,1.509902371007592e-07
P47758,0.0
Q9VEB4,0.0
X2JKX2,0.0
O16689,0.0
P48606,1.5685934147814023e-07
Q20981,0.0
O45156,0.0
Q9W3U1,0.0
Q9N362,0.0
O59816,0.0
Q9VVH3,0.0
Q7Z5N4,1.2919677832424906e-07
O15372,8.980590271214879e-06
O14362,0.0
Q9XU15,0.0
G3X970,0.0
B9DFI3,0.0
Q7K486,0.0
Q96CP6,1.4151246324144313e-05
Q9XU92,0.0
P41000,0.0
A2A9R3,1.512076500276045e-07
Q5A7M9,0.0
Q99J45,2.4313169271186245e-07
Q9W1E8,0.0
Q8TGR9,0.0
Q9Z301,0.0
Q9ESP1,3.5725069484629445e-06
Q8WWZ8,1.6585477946802139e-06
Q9VSR8,0.0
Q03740,0.0
Q9VFS1,0.0
P62937,0.0003221304399191811
Q59QC7,0.0
P40160,7.784356262551633e-07
Q9FX97,0.0
O59755,0.0
M9PHV0,0.0
P05014,5.636354060152936e-06
F6V0L2,0.0
P36168,1.4519076471937427e-07
Q9CQA8,0.0
P48754,2.8850880129580066e-07
Q8ILX0,0.0
Q01071,0.0
P0AB28,2.854285299603955e-09
Q6UWQ5,6.430924713061545e-06
Q28088,0.0
P0AFF4,2.1807432173976776e-07
Q94BY1,0.0
P92939,0.0
Q8IC20,0.0
Q8IKG8,0.0
Q9VDH5,0.0
A0A178VTR0,0.0
P06800,0.0
O75298,4.598831817554727e-07
Q851Y8,0.0
Q8JZV9,0.0
Q8GXE2,0.0
Q8VZ80,0.0
Q8BMK4,5.54361759631006e-07
Q8MKK3,0.0
Q6NPQ1,0.0
Q00416,5.700749545752564e-07
Q9XWV3,1.3676648908862294e-06
P47098,0.0
P23654,0.0
Q8S8A0,0.0
P36024,2.340565144993633e-07
A1Z8D0,0.0
A2A468,9.722646705253057e-06
P53916,1.1102790087011211e-07
Q3TDD9,4.2869720975141966e-07
Q6PHS6,0.0
Q9FPS7,0.0
Q9JKM7,0.0
Q571H0,0.0
Q9XTB5,0.0
Q5VTA0,2.15831787601492e-06
P48744,0.0
Q99418,4.075576925597684e-06
P54219,3.0700571423185346e-06
Q9VCE2,0.0
Q561S0,0.0
Q5BKC6,0.0
P77694,2.6290793269700013e-09
Q8L7U5,0.0
Q20866,0.0
Q99PP9,0.0
A6NNW6,0.0
P52306,7.385697542366237e-06
P45771,1.4872894364940932e-07
P92018,0.0
Q9HDX8,0.0
P69682,0.0
Q0WSW1,0.0
D3ZUP5,0.0
Q8CCA0,0.0
P48375,7.535577170399107e-07
Fam120a,0.0
12932241,8.892125177307776e-08
A0A178UMA4,0.0
D3ZV39,0.0
Q8N6L0,0.0
Q3TJ91,0.0
Q9NQ40,0.0
F4JF58,0.0
P0ADX5,1.7492677464639293e-07
Q9FLM0,0.0
P27247,7.164145268062972e-08
Q43866,0.0
Q96KS0,0.0
Q8WXX7,1.7094086277317642e-08
P37749,5.6031410678876246e-08
Q46797,1.04186037560484e-07
Q21736,7.261556182384594e-07
W6RRZ0,0.0
Q9DAI2,0.0
P34655,0.0
P38284,1.4028546903584626e-06
O75781,3.504487753213512e-06
P63239,2.837063350797756e-06
O75604,3.5235718796342792e-09
Q9VVA7,0.0
Q8NBI2,0.0
Q9UL03,5.515849845182698e-07
Q9Z329,0.0
P41272,0.0
P36009,3.8675195737225107e-07
Q99607,0.0
Q00963,0.0
Q8WV35,3.0931552941012794e-06
Q80TL0,0.0
P78871,0.0
Q64332,1.5528301646303616e-05
P69897,0.0
Q6XL73,0.0
Q5M9N0,3.238992317566094e-09
Q7JYP8,0.0
Q9VXJ7,0.0
Q7TS75,1.2306031502346295e-05
P67778,6.42781586165263e-08
Q3V132,0.0
Q9H2I8,0.0
Q5FWH2,0.0
Q8IJB7,0.0
Q9M8Z8,0.0
Q9NR55,3.5369665361415027e-06
Q91XB0,0.0
3640823,0.0
Q95QR6,0.0
Q8TDM0,1.720762982295813e-07
P36224,2.829777791766055e-07
P17183,4.9709034699256e-06
P27862,1.019771275409996e-08
Q8K4Q8,0.0
Q9ET54,0.0
O01329,0.0
O60663,1.5317300680257755e-06
554223,1.2710545612477796e-06
P33136,2.9053542956479934e-07
Q8MXV4,0.0
P28515,0.0
P23358,0.0
3643370,0.0
O14103,0.0
P47034,1.67246545012547e-09
P12297,0.0
Q80ZS7,0.0
Q8IN71,0.0
O14514,6.10501479828102e-08
Q9USR1,4.7160881771139314e-09
FAM90A26,0.0
691974,0.0
Q9VVW5,0.0
Q7M4L6,0.0
P34224,6.489264285963378e-07
Q61085,3.756849452093783e-07
P0ACC7,1.9503995810646628e-07
A0A804Q7C7,0.0
P75676,1.6637154101618891e-09
Q9UMR7,1.1187279072697407e-05
A0A1P8AT54,0.0
9304,0.0
P10174,8.758670919639084e-07
Q96L33,0.0
Q5VU65,0.0
Q9DBR4,0.0
Q9SNB9,0.0
P43243,1.6101314794182716e-06
Q16526,1.1874106285345249e-06
Q9Z206,8.378953287368542e-06
Q4G0M1,1.4037122241662458e-07
Q08685,1.1723980174578072e-06
hlh-33,0.0
I3IRW7,0.0
Q5BPS2,0.0
G5EDR3,3.26871080693558e-06
100505817,0.0
Q9XVU5,7.261556182384594e-07
P04632,6.369779226762059e-06
Q8GWQ2,0.0
P24183,7.243791996283142e-08
P0ABU2,9.172017049313156e-08
P80668,1.06902122958389e-09
677769,0.0
Q3E7M8,0.0
O75631,0.0
Q6UXI7,0.0
Q9U6L5,0.0
Q9N4A7,1.0002160520124645e-06
Q8VC19,0.0
O74995,0.0
Q22013,0.0
Q16478,2.8699412572942727e-06
P64517,4.501358118487911e-09
Q04744,0.0
Q8WU76,1.6446132797888025e-06
Q9FHZ4,0.0
Q9XRX5,0.0
maf-1,0.0
Q3U0S6,0.0
Q05924,6.834502143436022e-08
O16481,0.0
Q9XWS0,0.0
P91487,0.0
Q8R409,0.0
Q9VUY8,0.0
Q99PT9,0.0
Q9JLN4,0.0
Q5IBC5,0.0
Q08091,0.0
Q8RWC5,0.0
A2AIV8,0.0
P35452,0.0
Q966T5,0.0
Q8IL76,0.0
B1AJZ9,0.0
Q9FUS9,0.0
O88272,0.0
A0A0B4LI11,0.0
A0A974DYX9,0.0
G5EDZ7,0.0
sdpn-1,0.0
Q8VHF5,0.0
Q9VZ60,0.0
O45797,7.261556182384594e-07
Q8BGD4,0.0
Q8WWV3,3.018445443460915e-07
Q5JPH6,6.909993500846458e-07
Q93VA9,0.0
Q8TDU9,2.3873040622476514e-10
441400,8.279072901542354e-09
Q9VRJ9,0.0
Q9VLK1,0.0
Q92878,8.755504945459274e-06
Q66GP0,0.0
Q9P7N4,0.0
O94387,3.477824760157354e-07
Q9DCJ5,4.98864747020085e-07
Q08708,1.125535255636882e-09
Q9LDR2,0.0
Q6NUN9,5.39689945747384e-07
Q0WQG8,0.0
Q9SZR9,0.0
P40571,0.0
P0DJ93,0.0
Q9NPF7,5.025557533350173e-10
Q4U2R6,3.1218566746058135e-06
P38990,5.782962912404241e-07
P30128,3.4947080748166852e-09
A2AAY5,0.0
O70305,9.847253574548477e-06
Q9TXW1,0.0
Q9NP50,1.1570638065051988e-05
O75783,1.9200752670300416e-07
Q9QYN3,2.863519324751661e-06
Q8HWS3,0.0
P07108,4.119564775707071e-08
Q9UTI5,2.0819016284811547e-08
Q9Y5K2,2.3621714816088534e-09
Q9P772,0.0
M9PC99,0.0
O14057,2.1753543607662794e-09
P90897,0.0
O94420,1.6914875803365e-10
100507495,0.0
Q9LE59,0.0
Q18412,0.0
347702,0.0
P53146,6.423166590825484e-07
Q8BIK6,0.0
A0A7G2ECQ2,0.0
Q08979,1.0497409021748529e-09
Q7K175,0.0
Q8IID0,0.0
Q19894,7.261556182384594e-07
Q9LNE4,3.0142308681596426e-08
P48544,3.0878377549702015e-06
Q9NBW1,0.0
A0A8I6A4M7,0.0
Q99M31,0.0
403398,0.0
Q9FLR1,0.0
Q00417,0.0
P39728,1.745865646081005e-09
Kdm5b,0.0
A0A0G2K2C7,0.0
O49048,0.0
3644497,0.0
Q8BHB0,0.0
Q99JX4,2.937214948994397e-07
P51028,0.0
Q9P0K8,0.0
Q9JLZ6,0.0
Q01167,2.2221125681539967e-05
Q23382,0.0
Q9C0Z1,0.0
729862,0.0
A1L1C3,0.0
Q10192,0.0
P53278,8.587471309857433e-07
Q9LVG9,0.0
Q9VY50,0.0
A0A178VMY4,0.0
P37231,0.0
P38203,2.786643516677028e-07
O09172,3.3962600562585866e-07
Q96A09,5.544004347912419e-09
P32100,0.0
854632,0.0
Q59QW5,0.0
Q9Y2X8,2.990451241126912e-06
O60016,5.3951936524847035e-06
Q12151,4.315079767825702e-07
101060684,0.0
Q9I7V4,0.0
O94254,4.753509246773109e-09
A0A804HJX8,9.077478277599721e-07
P51577,0.0
A0A384K9F1,0.0
Q9VTT0,0.0
Epx,0.0
Q93203,0.0
P0AD42,3.241516521729184e-10
Q9D6K7,0.0
Q15058,6.516394048736037e-06
P34438,1.283765482310773e-07
Q9LTA3,0.0
P38248,3.496229686412968e-07
P45381,3.434510889703714e-09
Q23425,0.0
Q9P7C0,2.8462864371224607e-09
O44552,1.4215449975762377e-06
Q08387,1.3895360929610582e-06
P11291,5.906453487101059e-10
Q10201,0.0
Q18787,1.1023566155634142e-06
Q59Z29,0.0
100039827,0.0
Q64458,1.3211358257312782e-05
Q8W4S4,1.6764756280610134e-08
Q96PN7,2.4834175592493433e-07
P97710,0.0
Q8TAQ5,3.691575343273492e-08
Q9W532,0.0
O95319,2.742336900455733e-10
Q4VCS5,3.184802764474865e-05
Q99J93,0.0
P53195,4.979318767636288e-07
P37007,1.3967363292676519e-08
O94668,3.1171850752232326e-08
A2AR95,0.0
P0AEN8,2.0264764564103916e-08
Q9UHN6,4.184201311506337e-06
P08218,1.1945271653119348e-06
F55F10.1,0.0
Q9LTT8,0.0
Q9LTF2,0.0
P62508,1.3048575568437035e-05
P23787,0.0
O60174,0.0
Q3TN34,0.0
Q10256,1.1844046738844226e-08
Q8GW94,2.9192576848137037e-09
Q9FGY3,0.0
P16664,1.5159925780673738e-06
P57077,0.0
A0A8I5ZYG7,0.0
Q15629,1.1445156845206006e-08
Q62667,0.0
O59823,0.0
Q5TGI4,0.0
Q9R1X5,0.0
Q5T890,0.0
Q8WU79,3.1620601228917577e-06
Q9VYJ4,0.0
7310,2.9608830010866835e-10
O60637,6.409590868799597e-06
O88310,0.0
Q9NVE4,1.097498295395254e-07
Q0WL81,0.0
A0A7G2F1D8,0.0
O01498,1.3938756149913336e-06
G3MZY8,0.0
I2HAJ5,0.0
Q9VW84,0.0
F4I6B4,0.0
O75747,0.0
P49211,7.255926942112521e-08
Q10067,0.0
100129845,0.0
E5FYH1,4.837234407895528e-09
P39838,0.0
P0AAS0,0.0
Q9NZN3,9.569202373015317e-08
O60072,1.234380914701403e-06
Q9H4Z3,1.1289100812076476e-09
G5EBY5,0.0
M9PF87,0.0
Q00577,1.4995322170501495e-06
Q9H0B8,0.0
P08588,0.0
Q8W1P0,0.0
O94514,1.4711477569018314e-08
Q921V5,0.0
P15087,0.0
O43157,4.077331120410481e-07
Q8I4I7,0.0
P91216,0.0
Q8C5D8,0.0
P76165,1.376837153835907e-07
P39389,2.3538644759058075e-07
Q6NY19,5.173544772625916e-07
A0A8C2N5N4,0.0
Q76M96,0.0
O94295,2.0412612722840974e-08
O23227,0.0
3637085,0.0
Q17QA9,0.0
Q3TB48,0.0
G5ED46,0.0
O49686,0.0
O55112,0.0
O18054,3.782534688218324e-07
O42848,0.0
P77389,1.8866549727872694e-08
Q9FG61,0.0
O60137,7.229895459398298e-06
O08665,0.0
P22140,9.272329980054807e-07
O43752,6.431878950233879e-05
P28651,5.944755518693372e-06
Q9VYY8,0.0
Q9BTT0,4.146109236379678e-07
Q9VWC4,0.0
Q9FT76,0.0
P23586,0.0
D3ZLE2,0.0
P52134,1.0266364439464501e-09
A0A178UR08,0.0
P75829,8.864467993743128e-09
P31322,0.0
P77757,2.7688543594431145e-07
P0A6T1,6.076112377558039e-08
O43597,1.9095121206964195e-06
Q9W3V1,0.0
Q9ERB4,0.0
Q8N119,0.0
Q9H8M5,4.038307711432467e-08
A0A1D8PR98,0.0
Q8N4P3,2.1630194560713207e-06
F4IGA5,0.0
P20772,0.0
P0C8R3,0.0
Q7FB12,0.0
Q9XUB6,2.74020988014513e-08
A1Z713,0.0
Q52KR2,2.863519324751661e-06
Q13620,4.113822105234754e-06
P32418,0.0
P51450,0.0
Q9VW27,0.0
O75794,7.603730034426132e-08
P0A8C1,3.0316517307354085e-08
P13669,2.7413412234899423e-08
Q9P7M4,0.0
Q9M0C3,0.0
Q9H013,1.8617411164340645e-06
Q9NVC6,1.0302026383378796e-05
P11177,8.035555663311559e-06
Q02383,6.199866812576996e-05
338797,7.903930243893371e-09
Q640R3,0.0
Vbp1,0.0
Q8LGI3,0.0
P85052,1.732161618364112e-08
P42263,2.9865281840466773e-06
Q9UKT4,3.88316466605875e-07
P04406,7.328062147159924e-06
Q18192,0.0
Q9VZU2,0.0
P53267,4.28648837769665e-06
Q69Z08,0.0
P30542,7.638599248965275e-09
Q9Y4B4,8.872949737090201e-07
O22042,0.0
F4K498,0.0
Q9DBX2,5.205156240489584e-08
Q9SSN4,0.0
Q9D7G4,0.0
Q86PF4,0.0
A0A8I6A965,0.0
P97865,9.241485849643909e-08
Q3E739,1.769904530340537e-07
Q965U6,0.0
Q23389,0.0
P43509,1.9676986579612685e-08
140892,0.0
Q9CXH7,8.277901390629963e-07
Q9VS60,0.0
Q9BZQ8,8.644716983063053e-10
P0AC44,1.7986614572413772e-08
Q6NZ63,1.4767989404294202e-07
P16455,0.0
Q8R5H8,0.0
P62869,3.780467963348232e-06
P18196,5.885365553087701e-07
A4LBC3,0.0
Q9VJ71,0.0
P53123,8.895631647734975e-06
Q60960,1.5589945125413718e-06
Q9HCR9,0.0
P15884,8.445264160760707e-06
Q96MZ4,2.414710180569889e-07
P49966,0.0
O76398,0.0
P48610,0.0
Q9VUD8,0.0
Q9CQR5,0.0
Q8N2E2,3.5263242440488703e-06
O43464,1.1172493037750376e-05
O17067,0.0
Q8IFZ2,0.0
100151684,0.0
Q7ZX92,0.0
Q27GI3,0.0
G5EEZ4,0.0
Q8BY79,0.0
Q8IML5,0.0
Q6E0V2,0.0
P09210,8.26650335017564e-07
A0A8M2BGI9,0.0
Q9VAU6,0.0
677826,0.0
14217658,0.0
P40556,1.039353794936359e-06
Q15198,1.497095336728016e-06
Q8IE69,0.0
Q8NEZ3,8.66885529044858e-07
Q9FGV1,0.0
P49448,6.138203424031707e-08
Q8L7G2,0.0
O44949,0.0
P40098,2.523263444889122e-10
Q9Y473,0.0
Q9VM75,0.0
P17261,3.0673014056174554e-08
A1ZBY1,0.0
Q96IG2,6.547638751556543e-08
P0A9Q5,5.029196267084192e-08
Q19491,1.7197410963428828e-06
Q9UT55,1.0992189829316238e-08
Q5S003,0.0
A0A178URX3,0.0
O75173,1.9281276849258124e-06
Q9VLD6,0.0
Q5U349,0.0
P38299,3.259762809813207e-07
Q61080,0.0
P0A7L0,3.7076515819676357e-07
P54358,0.0
A0A1P8BA94,0.0
O75366,8.577318335207122e-07
Q9VSS7,0.0
D3ZAS8,0.0
P53769,4.7416489167540635e-07
O15446,9.835839344204039e-05
Q8R3C0,1.4220739348674217e-06
O75493,7.708845280986168e-08
Q9FZD2,0.0
Q941R6,0.0
O01255,1.2468495693914623e-07
P08908,0.0
Q08974,3.109484970258663e-08
Q9FI86,0.0
F5HF36,0.0
Q92561,0.0001082418230993308
Q94C26,0.0
Q80Z38,1.2138867498608572e-06
Q9USX9,2.703537945747084e-06
Q9VDU4,0.0
P33750,1.3078292217031686e-06
O75665,5.374955628320564e-06
A0A974DFB0,0.0
P34299,0.0
E1JHA2,0.0
Q8IKU1,0.0
255180,0.0
Q9XF87,0.0
Q8NAX2,1.5881459575543666e-05
P87132,0.0
Q9VBW3,0.0
7451,0.0
P0AC28,5.512363518234357e-07
P20099,1.2895351450837076e-10
Q9DCC3,0.0
P48565,1.6793776300062853e-06
Q8IIG8,0.0
Q9VZI8,0.0
P53691,3.9303256406796235e-08
Q9W4X2,0.0
Q8IU54,2.8691128858769927e-06
Q8K2B3,0.00011601318652677741
Q8IBY8,0.0
P09162,6.442727414334171e-10
Q9SEI2,9.85807770691322e-08
P49685,0.0
P27515,1.3702670033111202e-08
Q8N448,1.1050067751871179e-08
Q96MC4,0.0
Q9NVF9,1.6620054378537945e-08
Q86B99,0.0
Q96303,0.0
Q6ZRI8,2.6063199885158844e-05
Q0VBL1,0.0
O24600,0.0
P55035,0.0
Q59VG6,0.0
Q6L8H4,0.0
Q9LZV6,0.0
Q0WQM8,0.0
O60216,9.344502200558661e-06
Q9VI04,0.0
Q9VN12,0.0
Q9VLL4,0.0
P46153,0.0
A1ZA01,0.0
Q86VK4,0.0
Q9ULI0,0.0
Q9VXL5,0.0
Q39102,0.0
Q9QWK5,0.0
Q9UDV7,6.161239379873735e-07
Q42418,0.0
Q18171,0.0
Q9W425,0.0
Q9FR53,0.0
Q96AZ6,8.783694753397869e-08
Q9XW10,1.1116637707538262e-06
P53733,9.786095382908655e-07
Q80VQ0,0.0
Q9Y2H8,0.0
A0A1P8ANN6,0.0
P23256,1.623003440295574e-10
Q6PGD0,0.0
Q9SA88,0.0
Q3ECS5,0.0
Q7K738,0.0
Q7KVX5,0.0
Q92806,0.0
Q8IBJ8,0.0
Q8BMG1,0.0
646508,0.0
Q9SL48,0.0
P34666,0.0
P08682,0.0
Q9BTY2,4.730567388481075e-07
Q8BPY9,0.0
P42951,2.8235448304456254e-10
O35659,0.0
hmbx-1,0.0
O17582,0.0
P92966,2.6768270503577672e-06
O04551,0.0
P38710,6.326235379047342e-07
P90839,0.0
G5E8K5,2.8959683983180286e-08
O61856,0.0
Q9M8X9,2.2258087338762503e-07
Q24317,0.0
P12411,0.0
Q5AG43,0.0
Q9D2P4,3.840212054444515e-08
Q9SAV0,0.0
O75386,1.1557084229353321e-05
3641122,0.0
Q70CQ3,4.624116133813883e-06
P53114,7.3924025668448035e-06
O35386,1.1906864360154432e-08
F4JEX5,0.0
Q9P2U7,0.0
P07355,3.4490856795575694e-05
Q6PXP3,2.2108154701099108e-08
Q9VIX6,0.0
Q9D051,6.3870952463916385e-06
3643378,0.0
B9DHA6,0.0
Q9VK15,0.0
Q9QXW2,0.0
Q9C718,0.0
Q9Y5P2,0.0
P52627,8.582959956509469e-08
O94598,0.0
Q9FJJ3,0.0
O80713,0.0
P47207,9.772268427659263e-07
Q9Y468,2.583269692198919e-06
Q9HDW1,0.0
B7Z1M9,0.0
Q61168,0.0
Q6IRI7,0.0
